,best_match_score,ID,client,Record,ipAddress,hostname,alias_list,address_list,content-length,url,User-Agent,HTTPMethods,HTTPVersion,datetime
202637,0.053100421014181574,2738,37.148.78.108,124501.0,37.148.55.78,37-148-78-108.shatel.ir,['37.148.78.108'],,3132.0,https://torob.com/p/8d3938de-e478-4994-9309-48fde7d82820/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:08:19:13+0330]
214560,0.05310040830104242,2913,5.127.125.83,937537.0,5.127.46.83,5.127.125.83,[Errno 1] Unknown host,,5852.0,https://torob.com/p/a0837a5d-a004-45a7-a113-89f92caa078e/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:48:49+0330]
13531,0.05308669697418707,197,83.123.140.200,936093.0,83.123.189.200,83.123.140.200,[Errno 1] Unknown host,,6145.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:48:07+0330]
270512,0.05308154612482677,3662,5.212.21.187,221793.0,5.212.187.239,5.212.21.187,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:13:03+0330]
277292,0.05306377569117946,3753,213.195.60.92,402990.0,213.195.57.92,213.195.60.92,[Errno 1] Unknown host,,5852.0,https://torob.com/p/1e48bca8-c2da-4ecc-9358-7a73305e512d/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:10:29:11+0330]
67273,0.053029498831708696,937,31.58.187.82,775512.0,31.58.164.82,31-58-187-82.shatel.ir,['31.58.187.82'],,88773.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:47:08+0330]
72532,0.053018112707215216,1024,2.185.138.6,83598.0,2.185.249.138,2.185.138.6,[Errno 1] Unknown host,,6263.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:07:47:15+0330]
230247,0.05301552943409503,3109,151.238.232.39,308242.0,151.238.51.39,151-238-232-39.shatel.ir,['151.238.232.39'],,178.0,http://selzir.com/redirect/index/show/id/9779031,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:09:52:11+0330]
376203,0.0530139965663892,5113,152.44.37.148,879376.0,37.148.44.97,csl-tomyphoto-us-01.cslweb.uk,['152.44.37.148'],,0.0,-,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:13:26:04+0330]
320174,0.05299365293579408,4329,5.210.3.67,973811.0,5.116.67.3,5.210.3.67,[Errno 1] Unknown host,,59008.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:14:01:02+0330]
280368,0.052992558709971264,3806,204.18.127.193,516784.0,204.18.127.145,204.18.127.193,[Errno 1] Unknown host,,133.0,https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/browse/juicer/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:12:41+0330]
262476,0.05299250756650537,3559,83.122.161.121,673291.0,83.122.223.121,83.122.161.121,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:10:04+0330]
199510,0.05297912287335144,2678,37.137.171.92,579085.0,37.191.92.137,37.137.171.92,[Errno 1] Unknown host,,31597.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:35:50+0330]
407369,0.052976253263656396,5515,188.159.245.197,544732.0,188.159.25.245,adsl-188-159-245-197.sabanet.ir,['188.159.245.197'],,10169.0,https://www.google.com/,Mozilla/5.0 ,GET ,HTTP/1.1,[22/Jan/2019:11:22:45+0330]
262415,0.0529548199171958,3556,5.210.134.227,775352.0,5.210.134.37,5.210.134.227,[Errno 1] Unknown host,,3975.0,-,Dalvik/2.1.0 ,GET ,HTTP/1.1,[22/Jan/2019:12:47:05+0330]
